Date,Open,High,Low,Close,Adjsutment close,Volume
19-08-1981,-0.021746343,-0.02188451,-0.021595376,-0.02177623,-0.021055642,-0.64705738
20-08-1981,-0.021746343,-0.021856879,-0.021539215,-0.021720611,-0.021005389,-0.659539288
21-08-1981,-0.022024198,-0.022160811,-0.021876182,-0.022054325,-0.021306967,-0.57263695
24-08-1981,-0.022329888,-0.022464793,-0.022157038,-0.02233247,-0.021558408,-0.638657606
25-08-1981,-0.022246482,-0.022354223,-0.022044665,-0.022221182,-0.021457785,-0.576876089
26-08-1981,-0.022302103,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.601761401
27-08-1981,-0.022302103,-0.022409483,-0.022100877,-0.022276851,-0.021508155,-0.628687781
28-08-1981,-0.022079769,-0.022188442,-0.021876182,-0.022054325,-0.021306967,-0.586217894
31-08-1981,-0.022079769,-0.022188442,-0.021876182,-0.022054325,-0.021306967,-0.57601256
01-09-1981,-0.021801914,-0.02191214,-0.021595376,-0.02177623,-0.021055642,-0.589750509
02-09-1981,-0.021718557,-0.021829249,-0.021511134,-0.021692802,-0.020980204,-0.651610529
03-09-1981,-0.021913056,-0.022050291,-0.02176386,-0.021943087,-0.02120646,-0.588180458
04-09-1981,-0.021996412,-0.022133181,-0.021820021,-0.021998706,-0.021256714,-0.666055001
08-09-1981,-0.02213534,-0.022271332,-0.021960424,-0.022137754,-0.021382405,-0.630336334
09-09-1981,-0.022163125,-0.022271332,-0.021960424,-0.022137754,-0.021382405,-0.612516252
10-09-1981,-0.02213534,-0.022243702,-0.021932343,-0.022109944,-0.021357278,-0.597522263
11-09-1981,-0.022163125,-0.022298962,-0.021988504,-0.022165563,-0.021407532,-0.658047739
14-09-1981,-0.022302103,-0.022437163,-0.022128957,-0.022304661,-0.021533282,-0.622486078
15-09-1981,-0.022413245,-0.022547683,-0.02224128,-0.022415899,-0.021633788,-0.651139514
16-09-1981,-0.022496601,-0.022630574,-0.022325522,-0.022499327,-0.021709227,-0.651689032
17-09-1981,-0.022607743,-0.022741095,-0.022437844,-0.022610565,-0.021809733,-0.651610529
18-09-1981,-0.022607743,-0.022713464,-0.022409763,-0.022582756,-0.021784606,-0.627274734
21-09-1981,-0.022579958,-0.022685834,-0.022381683,-0.022554946,-0.02175948,-0.547673135
22-09-1981,-0.022774456,-0.022906876,-0.022606327,-0.022777422,-0.021960551,-0.55332532
23-09-1981,-0.022830027,-0.022962136,-0.022690569,-0.022860851,-0.022035989,-0.620680519
24-09-1981,-0.022885598,-0.023017396,-0.02271865,-0.02288866,-0.022061116,-0.655378652
